officialId,canonicalId,subject,grade,gradeName,domainCode,domain,strand,clusterCode,parentId,sourceItem,statement,isLeaf,instructionalStatus,active
K.OA.A.4,CCSS.MATH.CONTENT.K.OA.A.4,math,K,Kindergarten,OA,Operations & Algebraic Thinking,,K.OA.A,,A4,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or equation.",True,assessable,True
K.OA.A.5,CCSS.MATH.CONTENT.K.OA.A.5,math,K,Kindergarten,OA,Operations & Algebraic Thinking,,K.OA.A,,A5,Fluently add and subtract within 5.,True,assessable,True
1.L.1,CCSS.ELA-LITERACY.L.1.1,ela,1,Grade 1,L,Language,Language,,,1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,False,broadStandard,True
1.L.1.a,CCSS.ELA-LITERACY.L.1.1.a,ela,1,Grade 1,L,Language,Language,,1.L.1,1a,Print all upper- and lowercase letters.,True,assessable,True
1.L.1.b,CCSS.ELA-LITERACY.L.1.1.b,ela,1,Grade 1,L,Language,Language,,1.L.1,1b,"Use common, proper, and possessive nouns.",True,assessable,True
1.L.1.c,CCSS.ELA-LITERACY.L.1.1.c,ela,1,Grade 1,L,Language,Language,,1.L.1,1c,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).",True,assessable,True
1.L.1.d,CCSS.ELA-LITERACY.L.1.1.d,ela,1,Grade 1,L,Language,Language,,1.L.1,1d,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything).",True,assessable,True
1.L.1.e,CCSS.ELA-LITERACY.L.1.1.e,ela,1,Grade 1,L,Language,Language,,1.L.1,1e,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).",True,assessable,True
1.L.1.f,CCSS.ELA-LITERACY.L.1.1.f,ela,1,Grade 1,L,Language,Language,,1.L.1,1f,Use frequently occurring adjectives.,True,assessable,True
1.L.1.g,CCSS.ELA-LITERACY.L.1.1.g,ela,1,Grade 1,L,Language,Language,,1.L.1,1g,"Use frequently occurring conjunctions (e.g., and, but, or, so, because).",True,assessable,True
1.L.1.h,CCSS.ELA-LITERACY.L.1.1.h,ela,1,Grade 1,L,Language,Language,,1.L.1,1h,"Use determiners (e.g., articles, demonstratives).",True,assessable,True
1.L.1.i,CCSS.ELA-LITERACY.L.1.1.i,ela,1,Grade 1,L,Language,Language,,1.L.1,1i,"Use frequently occurring prepositions (e.g., during, beyond, toward).",True,assessable,True
1.L.1.j,CCSS.ELA-LITERACY.L.1.1.j,ela,1,Grade 1,L,Language,Language,,1.L.1,1j,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",True,assessable,True
1.L.2,CCSS.ELA-LITERACY.L.1.2,ela,1,Grade 1,L,Language,Language,,,2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",False,broadStandard,True
1.L.2.a,CCSS.ELA-LITERACY.L.1.2.a,ela,1,Grade 1,L,Language,Language,,1.L.2,2a,Capitalize dates and names of people.,True,assessable,True
1.L.2.b,CCSS.ELA-LITERACY.L.1.2.b,ela,1,Grade 1,L,Language,Language,,1.L.2,2b,Use end punctuation for sentences.,True,assessable,True
1.L.2.c,CCSS.ELA-LITERACY.L.1.2.c,ela,1,Grade 1,L,Language,Language,,1.L.2,2c,Use commas in dates and to separate single words in a series.,True,assessable,True
1.L.2.d,CCSS.ELA-LITERACY.L.1.2.d,ela,1,Grade 1,L,Language,Language,,1.L.2,2d,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.,True,assessable,True
1.L.2.e,CCSS.ELA-LITERACY.L.1.2.e,ela,1,Grade 1,L,Language,Language,,1.L.2,2e,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions.",True,assessable,True
1.L.3,CCSS.ELA-LITERACY.L.1.3,ela,1,Grade 1,L,Language,Language,,,3,(Begins in grade 2),True,notApplicableAtGrade,False
1.L.4,CCSS.ELA-LITERACY.L.1.4,ela,1,Grade 1,L,Language,Language,,,4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies.",False,broadStandard,True
1.L.4.a,CCSS.ELA-LITERACY.L.1.4.a,ela,1,Grade 1,L,Language,Language,,1.L.4,4a,Use sentence-level context as a clue to the meaning of a word or phrase.,True,assessable,True
1.L.4.b,CCSS.ELA-LITERACY.L.1.4.b,ela,1,Grade 1,L,Language,Language,,1.L.4,4b,Use frequently occurring affixes as a clue to the meaning of a word.,True,assessable,True
1.L.4.c,CCSS.ELA-LITERACY.L.1.4.c,ela,1,Grade 1,L,Language,Language,,1.L.4,4c,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking).",True,assessable,True
1.L.5,CCSS.ELA-LITERACY.L.1.5,ela,1,Grade 1,L,Language,Language,,,5,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings.",False,broadStandard,True
1.L.5.a,CCSS.ELA-LITERACY.L.1.5.a,ela,1,Grade 1,L,Language,Language,,1.L.5,5a,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent.",True,assessable,True
